synthetic_id,complaint_type,descriptor,resolution_description,agency,source
51,blocked driveway,There is a complaint about van that blocked my driveway on Forest Ave.,,NYPD,synthetic_rule_training_v2
52,blocked driveway,There is a complaint about taxi that parked in front of my driveway near Main St.,,NYPD,synthetic_rule_training_v2
53,blocked driveway,Resident reports vehicle preventing access to driveway entrance near Main St.,,NYPD,synthetic_rule_training_v2
54,blocked driveway,There is a complaint about vehicle that parked in front of driveway entrance near Main St.,,NYPD,synthetic_rule_training_v2
55,blocked driveway,van preventing access to my driveway on Forest Ave.,,NYPD,synthetic_rule_training_v2
56,blocked driveway,I need to report that SUV blocked my driveway near Main St.,,NYPD,synthetic_rule_training_v2
57,blocked driveway,Resident reports van obstructing driveway entrance near Main St.,,NYPD,synthetic_rule_training_v2
58,blocked driveway,There is a complaint about car that is blocking driveway entrance on Forest Ave.,,NYPD,synthetic_rule_training_v2
59,blocked driveway,There is a complaint about truck that obstructing private driveway at the curb.,,NYPD,synthetic_rule_training_v2
60,blocked driveway,I need to report that taxi preventing access to driveway entrance near Main St.,,NYPD,synthetic_rule_training_v2
61,blocked driveway,Resident reports truck is blocking my driveway in front of the building.,,NYPD,synthetic_rule_training_v2
62,blocked driveway,I need to report that SUV blocked private driveway on Forest Ave.,,NYPD,synthetic_rule_training_v2
63,blocked driveway,SUV obstructing garage entrance in front of the building.,,NYPD,synthetic_rule_training_v2
64,blocked driveway,Resident reports car preventing access to my driveway near Main St.,,NYPD,synthetic_rule_training_v2
65,blocked driveway,SUV blocked our driveway at the curb.,,NYPD,synthetic_rule_training_v2
66,blocked driveway,SUV is blocking garage entrance in front of the building.,,NYPD,synthetic_rule_training_v2
67,blocked driveway,SUV blocked driveway entrance in front of the building.,,NYPD,synthetic_rule_training_v2
68,blocked driveway,blocked driveway: SUV parked in front of private driveway near Main St.,,NYPD,synthetic_rule_training_v2
69,blocked driveway,I need to report that taxi parked in front of our driveway outside my house.,,NYPD,synthetic_rule_training_v2
70,blocked driveway,There is a complaint about vehicle that parked in front of driveway entrance outside my house.,,NYPD,synthetic_rule_training_v2
71,blocked driveway,car obstructing garage entrance in front of the building.,,NYPD,synthetic_rule_training_v2
72,blocked driveway,car preventing access to our driveway in front of the building.,,NYPD,synthetic_rule_training_v2
73,blocked driveway,"Please send help, vehicle parked in front of my driveway near Main St.",,NYPD,synthetic_rule_training_v2
74,blocked driveway,"Please send help, truck is blocking driveway entrance in front of the building.",,NYPD,synthetic_rule_training_v2
75,blocked driveway,I need to report that truck preventing access to garage entrance on Forest Ave.,,NYPD,synthetic_rule_training_v2
76,blocked driveway,I need to report that delivery vehicle preventing access to private driveway on Forest Ave.,,NYPD,synthetic_rule_training_v2
77,blocked driveway,Resident reports truck blocked my driveway in front of the building.,,NYPD,synthetic_rule_training_v2
78,blocked driveway,Resident reports truck parked in front of garage entrance near Main St.,,NYPD,synthetic_rule_training_v2
79,blocked driveway,I need to report that truck is blocking private driveway in front of the building.,,NYPD,synthetic_rule_training_v2
80,blocked driveway,There is a complaint about truck that blocked my driveway at the curb.,,NYPD,synthetic_rule_training_v2
81,blocked driveway,"Please send help, car blocked private driveway near Main St.",,NYPD,synthetic_rule_training_v2
82,blocked driveway,I need to report that truck is blocking driveway entrance in front of the building.,,NYPD,synthetic_rule_training_v2
83,blocked driveway,I need to report that van preventing access to my driveway on Forest Ave.,,NYPD,synthetic_rule_training_v2
84,blocked driveway,taxi is blocking garage entrance on Forest Ave.,,NYPD,synthetic_rule_training_v2
85,blocked driveway,"Please send help, SUV preventing access to our driveway at the curb.",,NYPD,synthetic_rule_training_v2
86,blocked driveway,Resident reports car parked in front of private driveway on Forest Ave.,,NYPD,synthetic_rule_training_v2
87,blocked driveway,"Please send help, vehicle is blocking my driveway outside my house.",,NYPD,synthetic_rule_training_v2
88,blocked driveway,blocked driveway: delivery vehicle obstructing garage entrance near Main St.,,NYPD,synthetic_rule_training_v2
89,blocked driveway,Resident reports delivery vehicle is blocking our driveway at the curb.,,NYPD,synthetic_rule_training_v2
90,blocked driveway,vehicle parked in front of driveway entrance near Main St.,,NYPD,synthetic_rule_training_v2
91,blocked driveway,"Please send help, vehicle blocked driveway entrance on Forest Ave.",,NYPD,synthetic_rule_training_v2
92,blocked driveway,There is a complaint about vehicle that is blocking driveway entrance outside my house.,,NYPD,synthetic_rule_training_v2
93,blocked driveway,"Please send help, delivery vehicle is blocking our driveway on Forest Ave.",,NYPD,synthetic_rule_training_v2
94,blocked driveway,I need to report that vehicle obstructing private driveway outside my house.,,NYPD,synthetic_rule_training_v2
95,blocked driveway,delivery vehicle parked in front of private driveway in front of the building.,,NYPD,synthetic_rule_training_v2
96,blocked driveway,There is a complaint about taxi that preventing access to private driveway on Forest Ave.,,NYPD,synthetic_rule_training_v2
97,blocked driveway,truck is blocking garage entrance outside my house.,,NYPD,synthetic_rule_training_v2
98,blocked driveway,car preventing access to driveway entrance outside my house.,,NYPD,synthetic_rule_training_v2
99,blocked driveway,I need to report that delivery vehicle parked in front of driveway entrance in front of the building.,,NYPD,synthetic_rule_training_v2
100,blocked driveway,blocked driveway: car obstructing garage entrance near Main St.,,NYPD,synthetic_rule_training_v2
101,blocked driveway,"Please send help, car obstructing my driveway in front of the building.",,NYPD,synthetic_rule_training_v2
102,blocked driveway,blocked driveway: taxi is blocking private driveway at the curb.,,NYPD,synthetic_rule_training_v2
103,blocked driveway,taxi parked in front of garage entrance outside my house.,,NYPD,synthetic_rule_training_v2
104,blocked driveway,I need to report that delivery vehicle blocked private driveway in front of the building.,,NYPD,synthetic_rule_training_v2
105,blocked driveway,"Please send help, taxi obstructing private driveway at the curb.",,NYPD,synthetic_rule_training_v2
106,blocked driveway,I need to report that truck preventing access to our driveway near Main St.,,NYPD,synthetic_rule_training_v2
107,blocked driveway,There is a complaint about taxi that obstructing our driveway in front of the building.,,NYPD,synthetic_rule_training_v2
108,blocked driveway,blocked driveway: truck obstructing garage entrance on Forest Ave.,,NYPD,synthetic_rule_training_v2
109,blocked driveway,"Please send help, truck is blocking driveway entrance in front of the building.",,NYPD,synthetic_rule_training_v2
110,blocked driveway,blocked driveway: taxi parked in front of driveway entrance at the curb.,,NYPD,synthetic_rule_training_v2
111,blocked driveway,There is a complaint about taxi that is blocking garage entrance at the curb.,,NYPD,synthetic_rule_training_v2
112,blocked driveway,I need to report that vehicle blocked private driveway in front of the building.,,NYPD,synthetic_rule_training_v2
113,blocked driveway,I need to report that taxi preventing access to private driveway on Forest Ave.,,NYPD,synthetic_rule_training_v2
114,blocked driveway,Resident reports taxi parked in front of our driveway near Main St.,,NYPD,synthetic_rule_training_v2
115,blocked driveway,Resident reports car blocked our driveway at the curb.,,NYPD,synthetic_rule_training_v2
116,blocked driveway,blocked driveway: delivery vehicle blocked driveway entrance at the curb.,,NYPD,synthetic_rule_training_v2
117,blocked driveway,I need to report that SUV is blocking driveway entrance at the curb.,,NYPD,synthetic_rule_training_v2
118,blocked driveway,There is a complaint about vehicle that is blocking my driveway on Forest Ave.,,NYPD,synthetic_rule_training_v2
119,blocked driveway,There is a complaint about vehicle that is blocking garage entrance at the curb.,,NYPD,synthetic_rule_training_v2
120,blocked driveway,SUV is blocking my driveway at the curb.,,NYPD,synthetic_rule_training_v2
121,blocked driveway,Resident reports delivery vehicle obstructing garage entrance in front of the building.,,NYPD,synthetic_rule_training_v2
122,blocked driveway,blocked driveway: truck obstructing garage entrance in front of the building.,,NYPD,synthetic_rule_training_v2
123,blocked driveway,There is a complaint about delivery vehicle that preventing access to driveway entrance near Main St.,,NYPD,synthetic_rule_training_v2
124,blocked driveway,I need to report that delivery vehicle obstructing driveway entrance outside my house.,,NYPD,synthetic_rule_training_v2
125,blocked driveway,Resident reports delivery vehicle parked in front of garage entrance at the curb.,,NYPD,synthetic_rule_training_v2
126,blocked driveway,I need to report that vehicle parked in front of driveway entrance on Forest Ave.,,NYPD,synthetic_rule_training_v2
127,blocked driveway,I need to report that truck is blocking private driveway outside my house.,,NYPD,synthetic_rule_training_v2
128,blocked driveway,"Please send help, SUV blocked our driveway near Main St.",,NYPD,synthetic_rule_training_v2
129,blocked driveway,Resident reports van is blocking our driveway on Forest Ave.,,NYPD,synthetic_rule_training_v2
130,blocked driveway,There is a complaint about van that parked in front of garage entrance at the curb.,,NYPD,synthetic_rule_training_v2
131,blocked driveway,There is a complaint about car that is blocking driveway entrance at the curb.,,NYPD,synthetic_rule_training_v2
132,blocked driveway,blocked driveway: taxi blocked garage entrance at the curb.,,NYPD,synthetic_rule_training_v2
133,blocked driveway,There is a complaint about car that parked in front of private driveway at the curb.,,NYPD,synthetic_rule_training_v2
134,blocked driveway,There is a complaint about SUV that preventing access to garage entrance near Main St.,,NYPD,synthetic_rule_training_v2
135,blocked driveway,There is a complaint about vehicle that parked in front of driveway entrance at the curb.,,NYPD,synthetic_rule_training_v2
136,blocked driveway,van parked in front of driveway entrance near Main St.,,NYPD,synthetic_rule_training_v2
137,blocked driveway,There is a complaint about vehicle that preventing access to garage entrance on Forest Ave.,,NYPD,synthetic_rule_training_v2
138,blocked driveway,There is a complaint about SUV that preventing access to my driveway on Forest Ave.,,NYPD,synthetic_rule_training_v2
139,blocked driveway,I need to report that van is blocking driveway entrance near Main St.,,NYPD,synthetic_rule_training_v2
140,blocked driveway,truck obstructing private driveway near Main St.,,NYPD,synthetic_rule_training_v2
141,blocked driveway,There is a complaint about truck that parked in front of driveway entrance outside my house.,,NYPD,synthetic_rule_training_v2
142,blocked driveway,There is a complaint about truck that blocked driveway entrance on Forest Ave.,,NYPD,synthetic_rule_training_v2
143,blocked driveway,I need to report that SUV blocked private driveway near Main St.,,NYPD,synthetic_rule_training_v2
144,blocked driveway,I need to report that car blocked my driveway near Main St.,,NYPD,synthetic_rule_training_v2
145,blocked driveway,Resident reports delivery vehicle blocked garage entrance near Main St.,,NYPD,synthetic_rule_training_v2
146,blocked driveway,Resident reports vehicle obstructing my driveway in front of the building.,,NYPD,synthetic_rule_training_v2
147,blocked driveway,Resident reports van parked in front of private driveway near Main St.,,NYPD,synthetic_rule_training_v2
148,blocked driveway,blocked driveway: SUV blocked our driveway outside my house.,,NYPD,synthetic_rule_training_v2
149,blocked driveway,SUV blocked private driveway in front of the building.,,NYPD,synthetic_rule_training_v2
150,blocked driveway,I need to report that van obstructing our driveway on Forest Ave.,,NYPD,synthetic_rule_training_v2
151,blocked driveway,blocked driveway: taxi is blocking my driveway outside my house.,,NYPD,synthetic_rule_training_v2
152,blocked driveway,I need to report that SUV blocked garage entrance on Forest Ave.,,NYPD,synthetic_rule_training_v2
153,blocked driveway,"Please send help, SUV obstructing private driveway on Forest Ave.",,NYPD,synthetic_rule_training_v2
154,blocked driveway,blocked driveway: taxi parked in front of my driveway at the curb.,,NYPD,synthetic_rule_training_v2
155,blocked driveway,There is a complaint about car that obstructing private driveway at the curb.,,NYPD,synthetic_rule_training_v2
156,blocked driveway,I need to report that vehicle obstructing our driveway in front of the building.,,NYPD,synthetic_rule_training_v2
157,blocked driveway,I need to report that truck preventing access to garage entrance at the curb.,,NYPD,synthetic_rule_training_v2
158,blocked driveway,There is a complaint about van that preventing access to private driveway outside my house.,,NYPD,synthetic_rule_training_v2
159,blocked driveway,Resident reports delivery vehicle blocked private driveway at the curb.,,NYPD,synthetic_rule_training_v2
160,blocked driveway,Resident reports delivery vehicle obstructing garage entrance in front of the building.,,NYPD,synthetic_rule_training_v2
161,blocked driveway,I need to report that van parked in front of my driveway at the curb.,,NYPD,synthetic_rule_training_v2
162,blocked driveway,"Please send help, vehicle obstructing our driveway outside my house.",,NYPD,synthetic_rule_training_v2
163,blocked driveway,"Please send help, truck parked in front of garage entrance outside my house.",,NYPD,synthetic_rule_training_v2
164,blocked driveway,blocked driveway: car preventing access to our driveway on Forest Ave.,,NYPD,synthetic_rule_training_v2
165,blocked driveway,Resident reports taxi obstructing driveway entrance in front of the building.,,NYPD,synthetic_rule_training_v2
166,blocked driveway,Resident reports taxi obstructing driveway entrance at the curb.,,NYPD,synthetic_rule_training_v2
167,blocked driveway,car parked in front of our driveway at the curb.,,NYPD,synthetic_rule_training_v2
168,blocked driveway,I need to report that vehicle parked in front of garage entrance outside my house.,,NYPD,synthetic_rule_training_v2
169,blocked driveway,There is a complaint about SUV that preventing access to private driveway at the curb.,,NYPD,synthetic_rule_training_v2
170,blocked driveway,I need to report that SUV parked in front of private driveway at the curb.,,NYPD,synthetic_rule_training_v2
171,blocked driveway,"Please send help, truck parked in front of our driveway on Forest Ave.",,NYPD,synthetic_rule_training_v2
172,blocked driveway,I need to report that vehicle parked in front of my driveway in front of the building.,,NYPD,synthetic_rule_training_v2
173,blocked driveway,I need to report that vehicle is blocking our driveway at the curb.,,NYPD,synthetic_rule_training_v2
174,blocked driveway,"Please send help, taxi preventing access to garage entrance in front of the building.",,NYPD,synthetic_rule_training_v2
175,blocked driveway,"Please send help, car is blocking private driveway near Main St.",,NYPD,synthetic_rule_training_v2
176,blocked driveway,"Please send help, vehicle parked in front of my driveway in front of the building.",,NYPD,synthetic_rule_training_v2
177,blocked driveway,Resident reports truck blocked my driveway in front of the building.,,NYPD,synthetic_rule_training_v2
178,blocked driveway,"Please send help, taxi is blocking driveway entrance on Forest Ave.",,NYPD,synthetic_rule_training_v2
179,blocked driveway,SUV parked in front of driveway entrance at the curb.,,NYPD,synthetic_rule_training_v2
180,blocked driveway,There is a complaint about truck that is blocking my driveway outside my house.,,NYPD,synthetic_rule_training_v2
181,blocked driveway,There is a complaint about car that blocked driveway entrance at the curb.,,NYPD,synthetic_rule_training_v2
182,blocked driveway,SUV blocked our driveway near Main St.,,NYPD,synthetic_rule_training_v2
183,blocked driveway,blocked driveway: truck blocked our driveway on Forest Ave.,,NYPD,synthetic_rule_training_v2
184,blocked driveway,blocked driveway: delivery vehicle obstructing garage entrance in front of the building.,,NYPD,synthetic_rule_training_v2
185,blocked driveway,blocked driveway: vehicle preventing access to driveway entrance at the curb.,,NYPD,synthetic_rule_training_v2
186,blocked driveway,There is a complaint about truck that preventing access to driveway entrance outside my house.,,NYPD,synthetic_rule_training_v2
187,blocked driveway,blocked driveway: SUV blocked garage entrance on Forest Ave.,,NYPD,synthetic_rule_training_v2
188,blocked driveway,Resident reports taxi is blocking private driveway on Forest Ave.,,NYPD,synthetic_rule_training_v2
189,blocked driveway,Resident reports vehicle is blocking garage entrance on Forest Ave.,,NYPD,synthetic_rule_training_v2
190,blocked driveway,Resident reports car obstructing driveway entrance in front of the building.,,NYPD,synthetic_rule_training_v2
191,blocked driveway,There is a complaint about truck that blocked our driveway outside my house.,,NYPD,synthetic_rule_training_v2
192,blocked driveway,I need to report that truck obstructing my driveway near Main St.,,NYPD,synthetic_rule_training_v2
193,blocked driveway,"Please send help, delivery vehicle preventing access to our driveway at the curb.",,NYPD,synthetic_rule_training_v2
194,blocked driveway,SUV is blocking our driveway outside my house.,,NYPD,synthetic_rule_training_v2
195,blocked driveway,Resident reports car blocked our driveway outside my house.,,NYPD,synthetic_rule_training_v2
196,blocked driveway,blocked driveway: taxi preventing access to private driveway at the curb.,,NYPD,synthetic_rule_training_v2
197,blocked driveway,van parked in front of driveway entrance outside my house.,,NYPD,synthetic_rule_training_v2
198,blocked driveway,blocked driveway: SUV obstructing driveway entrance on Forest Ave.,,NYPD,synthetic_rule_training_v2
199,blocked driveway,blocked driveway: car obstructing private driveway in front of the building.,,NYPD,synthetic_rule_training_v2
200,blocked driveway,"Please send help, car blocked our driveway in front of the building.",,NYPD,synthetic_rule_training_v2
201,heat/hot water,heat/hot water: apartment has no heat or hot water and landlord has not fixed it on Forest Ave.,,HPD,synthetic_rule_training_v2
202,heat/hot water,Resident reports residential building has cold radiators in the entire building at the building.,,HPD,synthetic_rule_training_v2
203,heat/hot water,Resident reports tenant unit has broken boiler in the entire building on Forest Ave.,,HPD,synthetic_rule_training_v2
204,heat/hot water,There is a complaint about unit that has broken boiler during cold weather at the building.,,HPD,synthetic_rule_training_v2
205,heat/hot water,I need to report that apartment has no hot water during cold weather on the top floor.,,HPD,synthetic_rule_training_v2
206,heat/hot water,I need to report that residential building has no heat or hot water in the entire building in the basement unit.,,HPD,synthetic_rule_training_v2
207,heat/hot water,residential building has no heat during cold weather at the building.,,HPD,synthetic_rule_training_v2
208,heat/hot water,"Please send help, apartment has broken boiler and landlord has not fixed it on Forest Ave.",,HPD,synthetic_rule_training_v2
209,heat/hot water,I need to report that tenant unit has broken boiler in the entire building on Forest Ave.,,HPD,synthetic_rule_training_v2
210,heat/hot water,Resident reports tenant unit has no heat or hot water and landlord has not fixed it on the top floor.,,HPD,synthetic_rule_training_v2
211,heat/hot water,I need to report that residential building has no heat for three days at the building.,,HPD,synthetic_rule_training_v2
212,heat/hot water,heat/hot water: building has no heat or hot water in the entire building on the top floor.,,HPD,synthetic_rule_training_v2
213,heat/hot water,apartment has cold radiators for three days in apartment 4B.,,HPD,synthetic_rule_training_v2
214,heat/hot water,"Please send help, tenant unit has no heat and landlord has not fixed it on the top floor.",,HPD,synthetic_rule_training_v2
215,heat/hot water,building has no heat in the entire building on Forest Ave.,,HPD,synthetic_rule_training_v2
216,heat/hot water,I need to report that building has broken boiler during cold weather in the basement unit.,,HPD,synthetic_rule_training_v2
217,heat/hot water,I need to report that unit has broken boiler in the entire building on the top floor.,,HPD,synthetic_rule_training_v2
218,heat/hot water,Resident reports residential building has cold radiators for three days on the top floor.,,HPD,synthetic_rule_training_v2
219,heat/hot water,Resident reports tenant unit has cold radiators for three days on Forest Ave.,,HPD,synthetic_rule_training_v2
220,heat/hot water,"Please send help, residential building has no heat or hot water and landlord has not fixed it at the building.",,HPD,synthetic_rule_training_v2
221,heat/hot water,unit has no heat or hot water and landlord has not fixed it in the basement unit.,,HPD,synthetic_rule_training_v2
222,heat/hot water,I need to report that residential building has no hot water in the entire building in the basement unit.,,HPD,synthetic_rule_training_v2
223,heat/hot water,There is a complaint about unit that has no heat or hot water and landlord has not fixed it in the basement unit.,,HPD,synthetic_rule_training_v2
224,heat/hot water,There is a complaint about residential building that has no heat or hot water for three days in apartment 4B.,,HPD,synthetic_rule_training_v2
225,heat/hot water,heat/hot water: residential building has no hot water in the entire building on Forest Ave.,,HPD,synthetic_rule_training_v2
226,heat/hot water,"Please send help, residential building has broken boiler in the entire building in apartment 4B.",,HPD,synthetic_rule_training_v2
227,heat/hot water,There is a complaint about apartment that has no hot water and landlord has not fixed it in the basement unit.,,HPD,synthetic_rule_training_v2
228,heat/hot water,"Please send help, apartment has broken boiler since yesterday in the basement unit.",,HPD,synthetic_rule_training_v2
229,heat/hot water,There is a complaint about apartment that has no hot water in the entire building in apartment 4B.,,HPD,synthetic_rule_training_v2
230,heat/hot water,residential building has no heat or hot water during cold weather in the basement unit.,,HPD,synthetic_rule_training_v2
231,heat/hot water,I need to report that residential building has no heat during cold weather in the basement unit.,,HPD,synthetic_rule_training_v2
232,heat/hot water,There is a complaint about unit that has broken boiler and landlord has not fixed it on Forest Ave.,,HPD,synthetic_rule_training_v2
233,heat/hot water,heat/hot water: apartment has no hot water during cold weather in apartment 4B.,,HPD,synthetic_rule_training_v2
234,heat/hot water,I need to report that apartment has broken boiler since yesterday on Forest Ave.,,HPD,synthetic_rule_training_v2
235,heat/hot water,There is a complaint about building that has no heat or hot water since yesterday on Forest Ave.,,HPD,synthetic_rule_training_v2
236,heat/hot water,"Please send help, apartment has no heat or hot water during cold weather at the building.",,HPD,synthetic_rule_training_v2
237,heat/hot water,There is a complaint about building that has no hot water and landlord has not fixed it on the top floor.,,HPD,synthetic_rule_training_v2
238,heat/hot water,heat/hot water: building has no hot water for three days on Forest Ave.,,HPD,synthetic_rule_training_v2
239,heat/hot water,heat/hot water: residential building has cold radiators for three days on the top floor.,,HPD,synthetic_rule_training_v2
240,heat/hot water,heat/hot water: building has no hot water in the entire building at the building.,,HPD,synthetic_rule_training_v2
241,heat/hot water,There is a complaint about unit that has no heat in the entire building at the building.,,HPD,synthetic_rule_training_v2
242,heat/hot water,I need to report that tenant unit has no hot water since yesterday on the top floor.,,HPD,synthetic_rule_training_v2
243,heat/hot water,"Please send help, tenant unit has no heat or hot water in the entire building at the building.",,HPD,synthetic_rule_training_v2
244,heat/hot water,There is a complaint about unit that has no hot water in the entire building on the top floor.,,HPD,synthetic_rule_training_v2
245,heat/hot water,building has broken boiler and landlord has not fixed it at the building.,,HPD,synthetic_rule_training_v2
246,heat/hot water,heat/hot water: unit has no heat or hot water since yesterday on the top floor.,,HPD,synthetic_rule_training_v2
247,heat/hot water,"Please send help, apartment has cold radiators since yesterday in the basement unit.",,HPD,synthetic_rule_training_v2
248,heat/hot water,I need to report that residential building has no heat or hot water for three days in the basement unit.,,HPD,synthetic_rule_training_v2
249,heat/hot water,"Please send help, building has no hot water and landlord has not fixed it at the building.",,HPD,synthetic_rule_training_v2
250,heat/hot water,I need to report that building has no heat since yesterday at the building.,,HPD,synthetic_rule_training_v2
251,heat/hot water,There is a complaint about apartment that has cold radiators during cold weather in apartment 4B.,,HPD,synthetic_rule_training_v2
252,heat/hot water,unit has no heat or hot water in the entire building in apartment 4B.,,HPD,synthetic_rule_training_v2
253,heat/hot water,Resident reports building has cold radiators during cold weather in the basement unit.,,HPD,synthetic_rule_training_v2
254,heat/hot water,heat/hot water: unit has no hot water during cold weather on the top floor.,,HPD,synthetic_rule_training_v2
255,heat/hot water,"Please send help, unit has no heat in the entire building on Forest Ave.",,HPD,synthetic_rule_training_v2
256,heat/hot water,Resident reports building has broken boiler and landlord has not fixed it at the building.,,HPD,synthetic_rule_training_v2
257,heat/hot water,residential building has no heat during cold weather in the basement unit.,,HPD,synthetic_rule_training_v2
258,heat/hot water,residential building has no heat or hot water during cold weather in the basement unit.,,HPD,synthetic_rule_training_v2
259,heat/hot water,There is a complaint about unit that has no heat for three days on the top floor.,,HPD,synthetic_rule_training_v2
260,heat/hot water,tenant unit has cold radiators during cold weather in the basement unit.,,HPD,synthetic_rule_training_v2
261,heat/hot water,Resident reports apartment has broken boiler during cold weather on the top floor.,,HPD,synthetic_rule_training_v2
262,heat/hot water,building has no heat since yesterday at the building.,,HPD,synthetic_rule_training_v2
263,heat/hot water,There is a complaint about apartment that has no heat for three days in the basement unit.,,HPD,synthetic_rule_training_v2
264,heat/hot water,Resident reports residential building has broken boiler during cold weather in the basement unit.,,HPD,synthetic_rule_training_v2
265,heat/hot water,There is a complaint about tenant unit that has no hot water in the entire building on Forest Ave.,,HPD,synthetic_rule_training_v2
